ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
1683834372,Kennys Bookshop & Art Gallery,74.57000000000002,New,Amazon,60.68,New,False,60.68,80.7044,-0.19,-0.27,-0.31
0528021133,Book Depository CA,84.55,New,INTERSPECTIVE LLC,39.99,New,True,39.99,53.18670000000001,-0.53,-0.57,-0.6
1628253827,Amazon,71.7,New,Amazon,60.24,New,False,60.24,80.1192,-0.16,-0.24,-0.29
0714876909,Book Depository CA,78.23,New,Amazon,50.8,New,False,50.8,67.564,-0.35,-0.42,-0.45
1119110661,Amazon,62.32,New,AcceptableBooks,49.29,Used - Good,True,49.29,65.5557,-0.21,-0.29,-0.33
0310437571,BookOutlet Canada,70.83,Used - Like New,FlippingPages,42.9,Used - Good,True,42.9,57.056999999999995,-0.39,-0.45,-0.49
0393292495,Amazon,117.02,New,SummitPark Prints,76.59,New,True,76.59,101.8647,-0.35,-0.41,-0.44
1496351290,fakeDict,-99.0,something wrong happened,Zenkat Traders,71.98,Used - Good,True,71.98,95.73340000000002,-1.73,-1.65,-1.62
0134093410,Amazon,186.56,New,Bargain Lenders,155.0,Used - Acceptable,True,155.0,206.15,-0.17,-0.25,-0.29
149250162X,fakeDict,-99.0,something wrong happened,Audrey's Corner,91.0,Used - Good,True,91.0,121.03,-1.92,-1.83,-1.78
1975136411,Amazon,121.05,New,Amazon,82.0,New,False,82.0,109.06,-0.32,-0.39,-0.42
0692196382,Book Depository CA,94.52,New,Amazon,74.99,New,False,74.99,99.7367,-0.21,-0.29,-0.33
154760218X,Amazon,133.66,New,Collect Musings,84.95,Used - Acceptable,True,84.95,112.9835,-0.36,-0.43,-0.46
1634022351,Amazon,120.95,New,Amazon,80.24,New,False,80.24,106.7192,-0.34,-0.4,-0.44
019064625X,Amazon,116.29,New,Amazon,71.86,New,False,71.86,95.5738,-0.38,-0.44,-0.47
032119991X,Amazon,95.0,New,Half-Price Hank's Books,86.17,Used - Very Good,True,86.17,114.6061,-0.09,-0.18,-0.23
0134414233,Alpha Textbooks Inc.,162.48000000000005,Used - Like New,🕗 24HourTextBooks 🕗,146.88,Used - Good,True,146.88,195.3504,-0.1,-0.19,-0.23
0134462459,Amazon,199.0,New,Half-Price Hank's Books,107.11,Used - Acceptable,True,107.11,142.4563,-0.46,-0.52,-0.54
1408856786,Amazon,129.99,New,RentU,109.79,Used - Good,True,109.79,146.0207,-0.16,-0.24,-0.28
0310452856,Book Depository CA,91.23,New,Amazon,76.49,New,False,76.49,101.7317,-0.16,-0.25,-0.29
0310916410,Amazon,72.26,New,North End Distributing,44.19,Used - Very Good,True,44.19,58.7727,-0.39,-0.45,-0.48
133816368X,Amazon,71.98,New,Amazon,64.05,Used - Acceptable,True,64.05,85.1865,-0.11,-0.2,-0.24
1506248446,Amazon,83.1,New,Amazon,50.99,New,False,50.99,67.81670000000001,-0.39,-0.45,-0.48
0310421314,Amazon,86.13,New,Lower-Christian-Prices,60.84,New,True,60.84,80.91720000000002,-0.29,-0.36,-0.4
1107189632,Amazon,85.95,New,Amazon,66.58,New,False,66.58,88.5514,-0.23,-0.3,-0.34
0310434807,BookOutlet Canada,77.97999999999998,Used - Like New,Amazon,54.51,New,False,54.51,72.4983,-0.3,-0.37,-0.41
1414307225,Amazon,72.08,New,Loving Wisdom,54.79,Used - Good,True,54.79,72.8707,-0.24,-0.32,-0.35
