ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
1683834372,Kennys Bookshop & Art Gallery,74.58,New,Amazon,50.92,New,False,50.92,67.7236,-0.32,-0.39,-0.42
0528021133,Book Depository CA,82.45,New,INTERSPECTIVE LLC,39.99,New,True,39.99,53.18670000000001,-0.51,-0.56,-0.59
1628253827,DiscountFactory,67.49,New,Amazon,60.24,New,False,60.24,80.1192,-0.11,-0.2,-0.24
0714876909,Amazon,78.8,New,Amazon,50.8,New,False,50.8,67.564,-0.36,-0.42,-0.45
1119110661,Amazon,62.32,New,💲Value_Text📚,49.92,Used - Good,False,49.92,66.3936,-0.2,-0.28,-0.32
0310437571,BookOutlet Canada,70.83,Used - Like New,FlippingPages,43.41,Used - Good,True,43.41,57.7353,-0.39,-0.45,-0.48
0393292495,Amazon,117.23,New,SummitPark Prints,76.29,New,True,76.29,101.4657,-0.35,-0.41,-0.45
1496351290,fakeDict,-99.0,something wrong happened,Pearl 4 Books,71.98,Used - Very Good,True,71.98,95.73340000000002,-1.73,-1.65,-1.62
0134093410,Amazon,186.69,New,Half-Price Hank's Books,154.9,Used - Good,True,154.9,206.017,-0.17,-0.25,-0.29
149250162X,Amazon,93.69,Used - Very Good,BMSbrands,84.22,Used - Good,True,84.22,112.0126,-0.1,-0.19,-0.24
1975136411,Amazon,121.41,New,Amazon,82.0,New,False,82.0,109.06,-0.32,-0.39,-0.43
0692196382,Book Depository CA,94.42,New,Amazon,74.99,New,False,74.99,99.7367,-0.21,-0.29,-0.32
154760218X,Amazon,134.13,New,Collect Musings,84.95,Used - Acceptable,True,84.95,112.9835,-0.37,-0.43,-0.46
1634022351,Amazon,120.95,New,Amazon,79.14,Used - Like New,True,79.14,105.2562,-0.35,-0.41,-0.44
019064625X,Amazon,116.29,New,Amazon,71.86,New,False,71.86,95.5738,-0.38,-0.44,-0.47
032119991X,Amazon,95.0,New,BooksOrDvds,85.71,Used - Good,True,85.71,113.9943,-0.1,-0.19,-0.23
0134414233,Alpha Textbooks Inc.,162.48000000000005,Used - Like New,🕗 24HourTextBooks 🕗,146.88,Used - Good,True,146.88,195.3504,-0.1,-0.19,-0.23
0134462459,Amazon,199.0,New,Half-Price Hank's Books,107.11,Used - Acceptable,True,107.11,142.4563,-0.46,-0.52,-0.54
1408856786,Amazon,129.99,New,RentU,109.8,Used - Good,True,109.8,146.034,-0.16,-0.24,-0.28
0310452856,Book Depository CA,91.23,New,Amazon,76.49,New,False,76.49,101.7317,-0.16,-0.25,-0.29
0310916410,Amazon,72.26,New,North End Distributing,44.19,Used - Very Good,True,44.19,58.7727,-0.39,-0.45,-0.48
133816368X,Amazon,71.98,New,Amazon,67.06,New,False,67.06,89.1898,-0.07,-0.16,-0.21
1506248446,Amazon,82.11,New,Amazon,49.97,New,False,49.97,66.4601,-0.39,-0.45,-0.48
0310421314,Amazon,86.13,New,Amazon,60.71,New,False,60.71,80.74430000000002,-0.3,-0.37,-0.4
